,0
0,european
1,articl
2,commun
3,regard
4,council
5,commiss
6,thereof
7,establish
8,oj
9,member
10,state
11,brussel
12,treati
13,provid
14,adopt
15,amend
16,accord
17,committe
18,refer
19,regul
20,measur
21,forc
22,ec
23,applic
24,decis
25,annex
26,offici
27,eec
28,enter
29,appli
30,provis
31,opinion
32,requir
33,journal
34,econom
35,inform
36,public
37,decemb
38,set
39,product
40,made
41,relat
42,text
43,order
44,condit
45,rule
46,quot
47,dai
48,direct
49,procedur
50,june
51,author
52,respect
53,includ
54,date
55,address
56,laid
57,implement
58,period
59,presid
60,market
61,ii
62,effect
63,ensur
64,juli
65,case
66,agreement
67,common
68,account
69,concern
70,part
71,gener
72,year
73,decid
74,time
75,basi
76,relev
77,directli
78,point
79,paragraph
80,purpos
81,union
82,nation
83,subject
84,cover
85,number
86,specif
87,result
88,januari
89,list
90,propos
91,limit
92,lai
93,import
94,pursuant
95,mean
96,make
97,addit
98,area
99,oper
100,present
101,carri
102,countri
103,bind
104,view
105,form
106,request
107,notifi
108,submit
109,system
110,march
111,replac
112,publish
113,govern
114,octob
115,grant
116,detail
117,place
118,trade
119,document
120,determin
121,level
122,approv
123,month
124,administr
125,develop
126,law
127,end
128,april
129,manag
130,intern
131,iii
132,act
133,meet
134,entireti
135,novemb
136,term
137,ad
138,consid
139,technic
140,origin
141,base
142,parliament
143,activ
144,exist
145,notif
146,take
147,compli
148,repres
149,gt
150,control
151,object
152,amount
153,intend
154,work
155,unit
156,entri
157,protect
158,compet
159,defin
160,access
161,parti
162,februari
163,design
164,question
165,report
166,tabl
167,complet
168,respons
169,arrang
170,reason
171,interest
172,septemb
173,process
174,adjust
175,eea
176,hereinaft
177,continu
178,authent
179,examin
180,receiv
181,produc
182,consult
183,section
184,situat
185,total
186,constitut
187,action
188,republ
189,special
190,initi
191,good
192,natur
193,financi
194,issu
195,person
196,increas
197,standard
198,joint
199,obtain
200,give
201,principl
202,assess
203,oblig
204,fix
205,servic
206,final
207,type
208,iv
209,involv
210,cooper
211,subparagraph
212,polici
213,affect
214,sector
215,suppli
216,accept
217,posit
218,support
219,field
220,cost
221,improv
222,contribut
223,maximum
224,extend
225,method
226,group
227,matter
228,assist
229,rate
230,protocol
231,undertak
232,legal
233,framework
234,consist
235,definit
236,reduc
237,region
238,programm
239,remain
240,conclus
241,practic
242,social
243,individu
244,prepar
245,health
246,industri
247,due
248,organis
249,prejudic
250,enabl
251,territori
252,conclud
253,agricultur
254,consider
255,agre
256,stand
257,data
258,prevent
259,light
260,declar
261,free
262,plan
263,contract
264,achiev
265,accompani
266,exchang
267,authoris
268,except
269,bodi
270,note
271,introduc
272,open
273,suffici
274,adapt
275,organ
276,annual
277,complianc
278,sign
279,criteria
280,transport
281,singl
282,export
283,monitor
284,fall
285,indic
286,guarante
287,drawn
288,fulfil
289,quantiti
290,letter
291,equival
292,structur
293,express
294,allow
295,mention
296,legisl
297,check
298,restrict
299,full
300,event
301,benefit
302,custom
303,exce
304,maintain
305,secur
306,contain
307,certif
308,calcul
309,identifi
310,minimum
311,languag
312,possibl
313,aim
314,equal
315,de
316,materi
317,aid
318,particip
319,progress
320,price
321,close
322,facilit
323,anim
324,payment
325,main
326,risk
327,kingdom
328,permit
329,subsequ
330,high
331,code
332,call
333,scope
334,conform
335,recommend
336,prior
337,function
338,categori
339,extent
340,competit
341,supplement
342,forward
343,circumst
344,qualiti
345,show
346,bring
347,incorpor
348,paid
349,current
350,satisfi
351,chang
352,major
353,power
354,line
355,indent
356,financ
357,separ
358,deliv
359,review
360,draw
361,put
362,institut
363,fact
364,vi
365,perform
366,commerci
367,context
368,resourc
369,integr
370,fund
371,connect
372,differ
373,descript
374,promot
375,confirm
376,charg
377,content
378,aris
379,duti
380,immedi
381,essenti
382,record
383,avoid
384,valid
385,transfer
386,prohibit
387,manufactur
388,similar
389,transit
390,exclud
391,problem
392,chapter
393,compar
394,collect
395,test
396,observ
397,held
398,capac
399,associ
400,attach
401,coordin
402,plant
403,reduct
404,offic
405,derog
406,longer
407,conduct
408,shown
409,evalu
410,ground
411,sale
412,found
413,lead
414,hold
415,combin
416,regist
417,justifi
418,behalf
419,long
420,reach
421,equip
422,luxembourg
423,instrument
424,substanti
425,futur
426,bear
427,step
428,treatment
429,manner
430,characterist
431,scheme
432,europ
433,approxim
434,august
435,signific
436,advanc
437,favour
438,qualifi
439,latest
440,element
441,start
442,right
443,inter
444,link
445,weight
446,impos
447,size
448,alloc
449,actual
450,fulli
451,met
452,stage
453,head
454,deem
455,small
456,impact
457,exceed
458,experi
459,invest
460,find
461,basic
462,introduct
463,evid
464,appear
465,analysi
466,balanc
467,hand
468,locat
469,depend
470,offer
471,environ
472,exempt
473,previou
474,food
475,compani
476,opportun
477,busi
478,creat
479,exercis
480,adequ
481,abovement
482,notic
483,remov
484,project
485,normal
486,human
487,sole
488,commit
489,distribut
490,germani
491,lower
492,select
493,consum
494,exclus
495,estim
496,privat
497,elig
498,correct
499,larg
500,insert
501,expenditur
502,alia
503,statement
504,mark
505,draft
506,need
507,compris
508,french
509,share
510,franc
511,compat
512,factor
513,file
514,negoti
515,invit
516,aspect
517,inspect
518,expect
519,repeal
520,safeti
521,clear
522,million
523,preced
524,statist
525,sourc
526,confer
527,percentag
528,higher
529,movement
530,consequ
531,substanc
532,water
533,entitl
534,word
535,central
536,verifi
537,pai
538,delai
539,court
540,convent
541,potenti
542,local
543,eur
544,live
545,extens
546,interpret
547,formal
548,effici
549,averag
550,proper
551,greater
552,absenc
553,suitabl
554,regular
555,deriv
556,veterinari
557,correspond
558,consumpt
559,scientif
560,copi
561,independ
562,figur
563,task
564,stock
565,dispos
566,mechan
567,difficulti
568,volum
569,purchas
570,agenc
571,occur
572,proceed
573,undertaken
574,titl
575,en
576,proport
577,tariff
578,franz
579,rais
580,encourag
581,bank
582,facil
583,receipt
584,technolog
585,begin
586,incur
587,altern
588,durat
589,treat
590,forthwith
591,comment
592,guidelin
593,studi
594,spain
595,employ
596,claim
597,mutual
598,desir
599,uniform
600,fischler
601,reserv
602,loss
603,return
604,train
605,packag
606,board
607,reflect
608,effort
609,capit
610,appoint
611,ident
612,research
613,instal
614,delet
615,network
616,iceland
617,statu
618,extern
619,thereto
620,version
621,expert
622,german
623,perman
624,written
625,environment
626,vii
627,budget
628,investig
629,approach
630,model
631,revis
632,envisag
633,termin
634,low
635,resolut
636,modifi
637,itali
638,tonn
639,prioriti
640,advantag
641,contact
642,excess
643,net
644,recognis
645,demonstr
646,submiss
647,certifi
648,land
649,feder
650,domest
651,storag
652,releas
653,centr
654,tax
655,execut
656,run
657,serv
658,rang
659,energi
660,sum
661,withdraw
662,provision
663,strengthen
664,item
665,recent
666,rise
667,geograph
668,economi
669,occas
670,role
671,caus
672,world
673,transpar
674,identif
675,fail
676,construct
677,sampl
678,demand
679,scale
680,ireland
681,compon
682,elimin
683,transmit
684,temporari
685,distort
686,prove
687,stipul
688,properti
689,suspend
690,staff
691,kind
692,depart
693,seek
694,belong
695,english
696,verif
697,precis
698,medium
699,emploi
700,director
701,concentr
702,deal
703,refus
704,degre
705,expiri
706,acquir
707,speci
708,short
709,discuss
710,r
711,firm
712,build
713,princip
714,destin
715,assur
716,chairman
717,physic
718,knowledg
719,classif
720,quota
721,presenc
722,read
723,contrari
724,convers
725,norwegian
726,updat
727,netherland
728,expir
729,success
730,alter
731,transact
732,fisheri
733,la
734,notwithstand
735,fourth
736,solut
737,sentenc
738,belgium
739,justic
740,capabl
741,austria
742,licenc
743,post
744,liabl
745,attent
746,sold
747,sweden
748,repli
749,wide
750,cross
751,flow
752,option
753,previous
754,send
755,strategi
756,pursu
757,half
758,write
759,intent
760,vehicl
761,mainten
762,virtu
763,italian
764,name
765,entir
766,user
767,deliveri
768,awar
769,attain
770,ecu
771,duli
772,engag
773,compens
774,failur
775,advisori
776,recipi
777,creation
778,retain
779,n
780,classifi
781,agent
782,partial
783,born
784,profit
785,chain
786,composit
787,eu
788,denmark
789,gain
790,fresh
791,leav
792,pic
793,target
794,portug
795,assum
796,follow
797,euratom
798,brought
799,ag
800,signatur
801,supervis
802,modif
803,emerg
804,back
805,finland
806,expens
807,damag
808,registr
809,intervent
810,pend
811,cn
812,lodg
813,confidenti
814,transmiss
815,label
816,neg
817,chemic
818,incompat
819,safeguard
820,advers
821,preserv
822,handl
823,proof
824,sell
825,inclus
826,recogn
827,possess
828,avail
829,intra
830,road
831,valu
832,side
833,circul
834,store
835,real
836,hereto
837,analys
838,assign
839,enterpris
840,automat
841,air
842,zone
843,foreign
844,renew
845,doubt
846,steel
847,regularli
848,instruct
849,acknowledg
850,move
851,award
852,week
853,recoveri
854,remedi
855,vice
856,wish
857,fish
858,highest
859,surveil
860,entail
861,vari
862,vessel
863,add
864,life
865,harmonis
866,oil
867,partli
868,recognit
869,electron
870,prefer
871,supplier
872,page
873,kg
874,van
875,enforc
876,pass
877,peopl
878,diseas
879,beneficiari
880,summari
881,liquid
882,profession
883,guidanc
884,currenc
885,format
886,schedul
887,border
888,dutch
889,infring
890,unabl
891,satisfactori
892,ecsc
893,fit
894,length
895,pre
896,greec
897,ceas
898,spanish
899,choic
900,infrastructur
901,danger
902,featur
903,difficult
904,seri
905,refund
906,distinct
907,charact
908,sustain
909,come
910,instanc
911,advis
912,understand
913,freedom
914,paper
915,concept
916,save
917,viii
918,conjunct
919,significantli
920,consign
921,fair
922,sheet
923,loan
924,hour
925,deadlin
926,residu
927,cut
928,suspens
929,premis
930,incom
931,ask
932,disput
933,site
934,relationship
935,properli
936,suggest
937,influenc
938,f
939,great
940,render
941,nomenclatur
942,entiti
943,notabl
944,worker
945,plai
946,phase
947,face
948,growth
949,lack
950,detect
951,empow
952,prescrib
953,anti
954,amp
955,enhanc
956,earli
957,sea
958,raw
959,global
960,withdrawn
961,partner
962,sound
963,column
964,foodstuff
965,trend
966,comparison
967,stress
968,harmon
969,wast
970,appropri
971,interim
972,travel
973,vote
974,david
975,past
976,convert
977,reimburs
978,consolid
979,popul
980,interv
981,meat
982,budgetari
983,veget
984,recov
985,stabil
986,turnov
987,pressur
988,varieti
989,explain
990,led
991,compos
992,secretariat
993,class
994,wholli
995,earlier
996,supplementari
997,asset
998,liabil
999,proportion
1000,byrn
1001,holder
1002,partnership
1003,electr
1004,bilater
1005,divid
1006,flexibl
1007,civil
1008,harm
1009,techniqu
1010,margin
1011,substitut
1012,fruit
1013,insur
1014,credit
1015,frequenc
1016,euro
1017,left
1018,load
1019,cultur
1020,restructur
1021,reliabl
1022,claus
1023,quantit
1024,deposit
1025,commenc
1026,seventh
1027,outcom
1028,distinguish
1029,fundament
1030,enjoi
1031,deduct
1032,arriv
1033,kei
1034,laboratori
1035,indirectli
1036,jointli
